dialogue_id,movie_title,movie_id,character_name,house,species,dialogue,dialogue_length
162,Harry Potter and the Philosopher's Stone,1,Garrick Ollivander,Ravenclaw,Human,"I remember every wand I've ever sold, Mr. Potter. It just so happens that the phoenix, whose tail feather resides in your wand gave one other feather, just one. It is curious that you should be destined for this wand when its brother gave you that scar.",253
163,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,And...who owned that wand?,26
164,Harry Potter and the Philosopher's Stone,1,Garrick Ollivander,Ravenclaw,Human,"Oh, we do not speak his name. The wand chooses the wizard, Mr. Potter. It's not always clear why, but I think it is clear that we can expect great things from you. After all, He-Who-Must-Not-Be-Named did great things...terrible, yes, but great.",244
165,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,Harry! Harry! Happy birthday!,29
166,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,Wow.,4
167,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"You all right, Harry? You seem very quiet.",42
168,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,"He killed my parents, didn't he? The one who gave me this. You know, Hagrid, I know you do.",91
169,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"First, and understand this, Harry, 'cause it's very important. Not all wizards are good. Some of them go bad. A few years ago, there was one wizard who went as bad as you can go. And his name was V-...his name was V-...",219
170,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,Maybe if you wrote it down?,27
171,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"No, I can't spell it. All right.  Voldemort.",44
172,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,Voldemort?,10
173,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,Shh!!,5
174,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"It was dark times, Harry, dark times.  Voldemort started to gather some followers, brought 'em over to the dark side. Anyone that stood up to him ended up dead. Your parents fought against him, but nobody lived once he decided to kill 'em.  Nobody...not one. Except you.",270
175,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,Me? Voldemort tried to kill...me?,33
176,Harry Potter and the Philosopher's Stone,1,Rubeus Hagrid,Gryffindor,Half-Human/Half-Giant,"Yes. That ain't no ordinary cut on your forehead, Harry. A mark like that only comes from being touched by a curse...and an evil curse at that.",143
177,Harry Potter and the Philosopher's Stone,1,Harry Potter,Gryffindor,Human,What happened to...to You-Know-Who?,35
